polarity,subjectivity,clouds,dew_point,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
-0.05,0.166666667,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0.1,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0.5,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.5,0.5,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.3,0.1,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.4,1,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
-0.45,0.733333333,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.5,0.5,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
1,1,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.066666667,0.633333333,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.5375,0.4,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.225,0.525,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
-0.166666667,0.066666667,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.025,0.3,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0,0,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
-1,1,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.166666667,0.841666667,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
0.5,0.15,90,25.23,31.15,83,1015,28.4,16093,139,5.45,,
